Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,UTC_Time,Latitude,UTM_northing,Longtitude,UTM_easting,Altitude,Zone,Letter
1695687946.7932558,1,1547,0,GPS_frame,,42.273021666666665,4682084.434259141,-71.02946166666668,332641.79637672845,19.1,19,T
1695687947.793464,2,1548,0,GPS_frame,,42.273021666666665,4682084.434259141,-71.02946166666668,332641.79637672845,19.3,19,T
1695687948.7969933,3,1549,0,GPS_frame,,42.273023333333335,4682084.612774886,-71.02945833333334,332642.0756802961,19.9,19,T
1695687949.7924688,4,1550,0,GPS_frame,,42.273023333333335,4682084.609498683,-71.02945666666666,332642.2131264085,20.1,19,T
1695687950.7936208,5,1551,0,GPS_frame,,42.273025000000004,4682084.794566846,-71.02945666666666,332642.2175377427,20.4,19,T
1695687951.7942863,6,1552,0,GPS_frame,,42.273025000000004,4682084.7912906455,-71.02945500000001,332642.35498384724,20.7,19,T
1695687952.7921555,7,1553,0,GPS_frame,,42.273025000000004,4682084.788014446,-71.02945333333334,332642.492429956,21.0,19,T
1695687953.795616,8,1554,0,GPS_frame,,42.273025000000004,4682084.788014446,-71.02945333333334,332642.492429956,21.2,19,T
1695687954.7931874,9,1555,0,GPS_frame,,42.273025000000004,4682084.784738251,-71.02945166666667,332642.62987606466,21.5,19,T
1695687955.7927387,10,1556,0,GPS_frame,,42.273025000000004,4682084.784738251,-71.02945166666667,332642.62987606466,21.8,19,T
1695687956.7927911,11,1557,0,GPS_frame,,42.273025000000004,4682084.774909681,-71.02944666666667,332643.0422143865,21.7,19,T
1695687957.7935119,12,1558,0,GPS_frame,,42.273025000000004,4682084.7716334965,-71.029445,332643.17966049514,21.9,19,T
1695687958.7955601,13,1559,0,GPS_frame,,42.27302666666666,4682084.956701658,-71.029445,332643.1840718041,22.1,19,T
1695687959.7931197,14,1560,0,GPS_frame,,42.27302666666666,4682084.953425475,-71.02944333333333,332643.3215179071,22.4,19,T
1695687960.8059855,15,1561,0,GPS_frame,,42.27303,4682085.336666545,-71.02945,332642.7805561334,20.2,19,T
1695687961.7930894,16,1562,0,GPS_frame,,42.273031666666675,4682085.521734708,-71.02945,332642.7849674537,20.5,19,T
1695687962.789826,17,1563,0,GPS_frame,,42.27303,4682085.333390354,-71.02944833333332,332642.9180022312,20.0,19,T
1695687963.791311,18,1564,0,GPS_frame,,42.27303,4682085.3399427375,-71.02945166666667,332642.64311003557,19.8,19,T
1695687964.7844706,19,1565,0,GPS_frame,,42.273031666666675,4682085.534839495,-71.02945666666666,332642.23518308107,17.6,19,T
1695687965.7875059,20,1566,0,GPS_frame,,42.273031666666675,4682085.534839495,-71.02945666666666,332642.23518308107,17.7,19,T
1695687966.794919,21,1567,0,GPS_frame,,42.27303333333332,4682085.716631455,-71.02945500000001,332642.37704050244,17.9,19,T
