Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,UTC_Time,Latitude,UTM_northing,Longtitude,UTM_easting,Altitude,Zone,Letter
1695743155.404893,1,56756,0,GPS_frame,,42.33771333333334,4689398.895687126,-71.09503166666667,327411.2553480487,22.7,19,T
1695743156.3966095,2,56757,0,GPS_frame,,42.33771333333334,4689398.895687126,-71.09503166666667,327411.2553480487,22.6,19,T
1695743157.39834,3,56758,0,GPS_frame,,42.33771166666667,4689398.71399931,-71.09503333333333,327411.1134825278,22.4,19,T
1695743158.404537,4,56759,0,GPS_frame,,42.33771,4689398.528928597,-71.09503333333333,327411.10892281105,22.3,19,T
1695743159.4044483,5,56760,0,GPS_frame,,42.33771,4689398.532311497,-71.09503500000001,327410.9716169955,22.2,19,T
1695743160.4216864,6,56761,0,GPS_frame,,42.33770833333333,4689398.340474985,-71.09503166666667,327411.24166890956,22.3,19,T
1695743161.4075813,7,56762,0,GPS_frame,,42.337716666666665,4689399.255679873,-71.09502666666667,327411.67638487637,21.3,19,T
1695743162.4027424,8,56763,0,GPS_frame,,42.33772166666666,4689399.807509126,-71.095025,327411.82736977306,21.3,19,T
1695743163.4052684,9,56764,0,GPS_frame,,42.337725,4689400.170884787,-71.09502166666667,327412.1111007378,21.3,19,T
1695743164.405501,10,56765,0,GPS_frame,,42.33772999999999,4689400.715948298,-71.09501666666667,327412.5366971274,21.1,19,T
1695743165.4053218,11,56766,0,GPS_frame,,42.33773666666666,4689401.439316821,-71.09500833333333,327413.24146463687,18.8,19,T
1695743166.4071486,12,56767,0,GPS_frame,,42.337735,4689401.247480396,-71.095005,327413.5115164922,18.1,19,T
1695743167.4454377,13,56768,0,GPS_frame,,42.33773333333333,4689401.038729771,-71.09499333333333,327414.4680971758,16.7,19,T
1695743168.406912,14,56769,0,GPS_frame,,42.33773166666666,4689400.819830842,-71.09497666666667,327415.8365952134,16.9,19,T
1695743169.4453795,15,56770,0,GPS_frame,,42.33773166666666,4689400.792768464,-71.09496333333333,327416.93504134554,17.1,19,T
1695743170.4469175,16,56771,0,GPS_frame,,42.33773333333333,4689400.950776972,-71.09495,327418.0380470139,17.6,19,T
1695743171.443574,17,56772,0,GPS_frame,,42.33773666666666,4689401.293856364,-71.09493666666667,327419.1456121316,17.7,19,T
1695743172.4505823,18,56773,0,GPS_frame,,42.33774166666667,4689401.828772093,-71.09492666666667,327419.9831251254,17.6,19,T
1695743173.4077635,19,56774,0,GPS_frame,,42.33774666666667,4689402.3670706265,-71.09491833333333,327420.6833322546,17.4,19,T
1695743174.4473102,20,56775,0,GPS_frame,,42.33775000000001,4689402.710150429,-71.094905,327421.7908970022,17.6,19,T
1695743175.4089575,21,56776,0,GPS_frame,,42.33775666666667,4689403.4199891575,-71.09489,327423.0448861678,18.1,19,T
1695743176.447725,22,56777,0,GPS_frame,,42.337761666666665,4689403.948140037,-71.09487666666668,327424.1570099994,18.4,19,T
1695743177.4095738,23,56778,0,GPS_frame,,42.337765000000005,4689404.291220375,-71.09486333333332,327425.264574306,18.6,19,T
1695743178.410576,24,56779,0,GPS_frame,,42.33777166666667,4689405.004442312,-71.09485,327426.3812571369,18.8,19,T
1695743179.4436052,25,56780,0,GPS_frame,,42.33777499999999,4689405.347522994,-71.09483666666667,327427.48882115295,19.0,19,T
1695743180.4484394,26,56781,0,GPS_frame,,42.33778,4689405.875674561,-71.09482333333334,327428.6009443136,19.3,19,T
1695743181.4077973,27,56782,0,GPS_frame,,42.337785000000004,4689406.4038263,-71.09481000000001,327429.7130673046,19.4,19,T
1695743182.4475644,28,56783,0,GPS_frame,,42.33779,4689406.93197821,-71.09479666666667,327430.82519012166,19.5,19,T
1695743183.4469855,29,56784,0,GPS_frame,,42.33779500000001,4689407.456747798,-71.09478166666666,327432.0746183891,19.5,19,T
1695743184.448486,30,56785,0,GPS_frame,,42.33779833333333,4689407.799829362,-71.09476833333333,327433.1821817003,19.6,19,T
1695743185.4079373,31,56786,0,GPS_frame,,42.33780333333334,4689408.327981811,-71.094755,327434.2943040093,19.6,19,T
1695743186.4079638,32,56787,0,GPS_frame,,42.337808333333335,4689408.8561344305,-71.09474166666668,327435.4064261486,19.7,19,T
1695743187.408944,33,56788,0,GPS_frame,,42.33781166666666,4689409.202598918,-71.09473,327436.3766834613,19.6,19,T
1695743188.409225,34,56789,0,GPS_frame,,42.33781666666667,4689409.730751861,-71.09471666666667,327437.4888052905,19.6,19,T
1695743189.4097116,35,56790,0,GPS_frame,,42.33782166666666,4689410.262287344,-71.094705,327438.4636213761,19.5,19,T
1695743190.4201498,36,56791,0,GPS_frame,,42.33782666666666,4689410.800587665,-71.09469666666668,327439.163826199,19.3,19,T
1695743191.4115088,37,56792,0,GPS_frame,,42.33783333333334,4689411.520576429,-71.09468666666666,327440.00589542964,19.2,19,T
1695743192.4087284,38,56793,0,GPS_frame,,42.33784000000001,4689412.240565285,-71.09467666666666,327440.84796448983,19.1,19,T
