Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude,longitude,altitude,utmEasting,utmNorthing,zone,letter,quality
1697060325.885023,122,77885,0,GPS1_Frame,42.33858491833333,-71.086146605,21.789,328145.6118940993,4689477.682489931,19,T,4
1697060328.1759028,123,77886,0,GPS1_Frame,42.33858489833333,-71.08614634166666,21.782,328145.6335336183,4689477.679736854,19,T,4
1697060330.467106,124,77887,0,GPS1_Frame,42.338584905,-71.08614621166667,21.775,328145.6442614797,4689477.680214388,19,T,4
1697060332.7580342,125,77888,0,GPS1_Frame,42.338585025,-71.086146065,21.781,328145.6566711288,4689477.6932430435,19,T,4
1697060335.0489836,126,77889,0,GPS1_Frame,42.33858493333334,-71.08614628666666,21.779,328145.6381599968,4689477.683512175,19,T,4
1697060337.3397675,127,77890,0,GPS1_Frame,42.33858493333334,-71.08614620833333,21.766,328145.6446132739,4689477.683353853,19,T,4
1697060339.6303716,128,77891,0,GPS1_Frame,42.338584901666664,-71.08614644666666,21.761,328145.624892559,4689477.680319212,19,T,4
1697060341.9216547,129,77917,0,GPS1_Frame,42.338593116666665,-71.08614571,21.706,328145.7079606365,4689478.5910434965,19,T,5
1697060344.2125506,130,77918,0,GPS1_Frame,42.33859322833333,-71.086145775,21.7,328145.70290999406,4689478.603574603,19,T,5
1697060346.503283,131,77919,0,GPS1_Frame,42.33859317833333,-71.08614571666666,21.725,328145.7075794167,4689478.597904584,19,T,5
1697060348.7944355,132,77920,0,GPS1_Frame,42.33859328,-71.086145595,21.721,328145.7178795602,4689478.6089479895,19,T,5
1697060351.0853665,133,77921,0,GPS1_Frame,42.338593285,-71.08614561,21.71,328145.7166574488,4689478.609533519,19,T,5
1697060353.376106,134,77922,0,GPS1_Frame,42.33859321,-71.08614549166667,21.714,328145.7262016998,4689478.600966174,19,T,5
1697060355.6669328,135,77923,0,GPS1_Frame,42.338593065,-71.08614558666666,21.745,328145.71798036573,4689478.585057035,19,T,5
1697060357.9582229,136,77924,0,GPS1_Frame,42.338592778333336,-71.08614559833333,21.746,328145.7162382838,4689478.553248466,19,T,5
1697060360.24965,137,77925,0,GPS1_Frame,42.33859239666667,-71.08614533166667,21.757,328145.7371671356,4689478.510328322,19,T,5
1697060362.540315,138,77926,0,GPS1_Frame,42.33859143,-71.08614723,21.771,328145.5781446373,4689478.406824122,19,T,5
1697060364.6548958,139,77927,0,GPS1_Frame,42.33858940333333,-71.08614866333333,21.764,328145.4545421781,4689478.184675176,19,T,5
1697060366.7689824,140,77928,0,GPS1_Frame,42.338586815,-71.086151255,21.756,328145.2339834209,4689477.902498568,19,T,5
1697060368.8824847,141,77929,0,GPS1_Frame,42.338583541666665,-71.08615306333333,21.726,328145.0760913289,4689477.542674714,19,T,5
1697060370.9970946,142,77930,0,GPS1_Frame,42.338580701666665,-71.086156105,21.728,328144.81777489226,4689477.233461963,19,T,5
1697060373.1112528,143,77931,0,GPS1_Frame,42.338577703333335,-71.086158135,21.716,328144.6423705288,4689476.90462279,19,T,5
1697060375.4001858,144,77943,0,GPS1_Frame,42.33853874,-71.08620811,21.552,328140.41916525527,4689472.679048973,19,T,4
1697060377.8630729,145,77944,0,GPS1_Frame,42.338534355,-71.08621237833333,21.55,328140.0555836315,4689472.200755228,19,T,4
1697060380.3275957,146,77945,0,GPS1_Frame,42.33853058,-71.08621704666666,21.507,328139.66071086377,4689471.791005833,19,T,4
1697060382.792411,147,77946,0,GPS1_Frame,42.33852684,-71.08622082333333,21.541,328139.3393910233,4689471.383340707,19,T,4
1697060385.2572293,148,77947,0,GPS1_Frame,42.338523888333334,-71.08622494333333,21.529,328138.9919342302,4689471.063907954,19,T,4
1697060387.7222838,149,77948,0,GPS1_Frame,42.338519928333334,-71.08622896666667,21.575,328138.64969397034,4689470.632312095,19,T,4
1697060390.1886005,150,77949,0,GPS1_Frame,42.33851651,-71.086232635,21.587,328138.338175116,4689470.26014668,19,T,4
1697060392.6555648,151,77950,0,GPS1_Frame,42.338513213333336,-71.08623626,21.603,328138.0305576002,4689469.90140385,19,T,4
1697060395.1225412,152,77951,0,GPS1_Frame,42.33851031333333,-71.086239675,21.642,328137.7413210285,4689469.5862833895,19,T,4
1697060397.5896378,153,77952,0,GPS1_Frame,42.33850756,-71.086243415,21.649,328137.4257097248,4689469.288106052,19,T,4
1697060400.0565143,154,77953,0,GPS1_Frame,42.33850472666666,-71.08624669333334,21.671,328137.1479136549,4689468.980112206,19,T,4
1697060402.523615,155,77954,0,GPS1_Frame,42.33850233166667,-71.08625049166666,21.679,328136.8284728968,4689468.721842987,19,T,4
1697060404.9904294,156,77955,0,GPS1_Frame,42.33849898166667,-71.08625399166667,21.69,328136.5310077416,4689468.356925306,19,T,4
1697060407.4577627,157,77978,0,GPS1_Frame,42.33843061,-71.08633708666666,22.092,328129.4991623021,4689460.932730021,19,T,4
1697060409.9251218,158,77979,0,GPS1_Frame,42.338427323333335,-71.08634017166666,22.119,328129.2360577431,4689460.574006473,19,T,4
