Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude,longitude,altitude,utmEasting,utmNorthing,zone,letter,quality
1697065012.2530758,1,82607,0,GPS1_Frame,42.338622215,-71.088688245,1.292,327936.3274564273,4689486.964110842,19,T,1
1697065014.1889915,2,82608,0,GPS1_Frame,42.338625011666664,-71.08869294333333,0.431,327935.9480252481,4689487.284166944,19,T,5
1697065019.675535,3,82609,0,GPS1_Frame,42.338631855,-71.088702775,-1.76,327935.15673621214,4689488.063962485,19,T,5
1697065021.6133614,4,82610,0,GPS1_Frame,42.338633115,-71.08870373166667,-1.759,327935.0813606404,4689488.205811827,19,T,5
1697065023.5511413,5,82611,0,GPS1_Frame,42.33863522,-71.08870455333333,-1.86,327935.0194114996,4689488.441218813,19,T,5
1697065025.4890184,6,82612,0,GPS1_Frame,42.33863765666667,-71.08870627166667,-2.247,327934.88449761004,4689488.715269366,19,T,5
1697065027.4269712,7,82613,0,GPS1_Frame,42.33864024,-71.08870836166666,-2.735,327934.7193650459,4689489.00635825,19,T,5
1697065029.3649156,8,82614,0,GPS1_Frame,42.338646955,-71.08870377833334,-2.061,327935.11526618747,4689489.742733099,19,T,1
1697065031.1262565,9,82615,0,GPS1_Frame,42.33866458833333,-71.08870567666666,-0.071,327935.0069740764,4689491.704622266,19,T,1
1697065033.0637035,10,82616,0,GPS1_Frame,42.33860391666666,-71.08864685833333,13.236,327939.6870745161,4689484.84847108,19,T,5
1697065035.0013545,11,82617,0,GPS1_Frame,42.33859897666667,-71.088641835,14.858,327940.0874342554,4689484.289756659,19,T,5
1697065036.9375808,12,82618,0,GPS1_Frame,42.3385993,-71.08864389166666,14.819,327939.9188832341,4689484.329822131,19,T,5
1697065038.8733895,13,82619,0,GPS1_Frame,42.338605101666666,-71.08864727833334,14.184,327939.6557060787,4689484.980906216,19,T,5
1697065040.8095913,14,82620,0,GPS1_Frame,42.338604905,-71.088643595,15.322,327939.9586110888,4689484.9516144665,19,T,5
1697065042.7456071,15,82621,0,GPS1_Frame,42.33860751833333,-71.08864226,15.909,327940.0757193677,4689485.239103836,19,T,5
1697065044.681671,16,82622,0,GPS1_Frame,42.33861113166667,-71.08864226,16.164,327940.08557481726,4689485.640337044,19,T,5
1697065046.6176474,17,82623,0,GPS1_Frame,42.338614316666664,-71.08864312833333,16.115,327940.02272670506,4689485.995764203,19,T,5
1697065048.5550265,18,82624,0,GPS1_Frame,42.33861687666667,-71.08864376333334,16.009,327939.9773964224,4689486.281317704,19,T,5
1697065050.4931686,19,82625,0,GPS1_Frame,42.33861922166667,-71.08864441333333,15.83,327939.9302439961,4689486.543027439,19,T,5
1697065052.4311228,20,82626,0,GPS1_Frame,42.33862108833333,-71.08864512333334,15.542,327939.8768439692,4689486.751743308,19,T,5
1697065054.3688147,21,82627,0,GPS1_Frame,42.33862276833333,-71.08864563166667,15.122,327939.8395485653,4689486.9393231785,19,T,5
1697065056.305165,22,82628,0,GPS1_Frame,42.33862404833334,-71.08864627166666,14.611,327939.7903151542,4689487.082752525,19,T,5
1697065058.241291,23,82629,0,GPS1_Frame,42.33862495166667,-71.08864669,13.971,327939.75831577316,4689487.183907346,19,T,5
1697065060.1774657,24,82630,0,GPS1_Frame,42.338625656666665,-71.088647205,13.42,327939.717811818,4689487.2632343685,19,T,5
1697065062.1134553,25,82631,0,GPS1_Frame,42.33862602,-71.088647975,12.924,327939.65536848304,4689487.305137909,19,T,5
1697065064.0494688,26,82647,0,GPS1_Frame,42.338616583333334,-71.08864690333333,7.01,327939.7179160176,4689486.255099214,19,T,5
1697065065.9853742,27,82648,0,GPS1_Frame,42.338615815,-71.08864563333333,7.21,327939.8204458515,4689486.167211725,19,T,5
1697065139.6822429,28,82649,0,GPS1_Frame,42.33861554166667,-71.08864471333334,7.433,327939.8954920183,4689486.134998471,19,T,5
1697065141.620091,29,82650,0,GPS1_Frame,42.33861494166667,-71.08864365833334,7.64,327939.9807688005,4689486.066238185,19,T,5
1697065143.5582736,30,82651,0,GPS1_Frame,42.338614353333334,-71.08864265833333,7.887,327940.06154638174,4689485.998884691,19,T,5
1697065145.4963474,31,82652,0,GPS1_Frame,42.338614155,-71.08864184833334,7.972,327940.1277350659,4689485.975222209,19,T,5
1697065147.4340923,32,82653,0,GPS1_Frame,42.33861390166667,-71.08864110666667,8.09,327940.1881442819,4689485.945590668,19,T,5
1697065149.3705256,33,82654,0,GPS1_Frame,42.3386138,-71.08864028166667,8.24,327940.25583235966,4689485.932631933,19,T,5
1697065151.3067703,34,82655,0,GPS1_Frame,42.33861331666667,-71.08863924333333,8.436,327940.3400543226,4689485.876860325,19,T,5
1697065153.2429924,35,82656,0,GPS1_Frame,42.338613458333334,-71.08863835666666,8.639,327940.4134863389,4689485.890797123,19,T,5
1697065155.179122,36,82741,0,GPS1_Frame,42.33862200666667,-71.08862535,-2.782,327941.5083207318,4689486.813705102,19,T,5
1697065157.4674363,37,82742,0,GPS1_Frame,42.33862059333333,-71.08862531,-2.469,327941.507761152,4689486.656684233,19,T,5
1697065159.7559736,38,82743,0,GPS1_Frame,42.338619566666665,-71.08862532166667,-2.228,327941.5039997917,4689486.542704309,19,T,5
1697065162.0447316,39,82744,0,GPS1_Frame,42.33861828166667,-71.08862539666667,-1.945,327941.49431628245,4689486.400166592,19,T,5
1697065164.3348358,40,82745,0,GPS1_Frame,42.338617165,-71.08862543666666,-1.735,327941.4879752835,4689486.276250185,19,T,5
1697065166.625042,41,82746,0,GPS1_Frame,42.338616316666666,-71.08862545833334,-1.59,327941.4838765011,4689486.182093058,19,T,5
1697065168.9144783,42,82747,0,GPS1_Frame,42.33861596166667,-71.08862546,-1.565,327941.4827709347,4689486.142676378,19,T,5
1697065171.2046893,43,82748,0,GPS1_Frame,42.33861528833334,-71.08862554166667,-1.471,327941.4742065313,4689486.068073085,19,T,5
1697065173.4946687,44,82749,0,GPS1_Frame,42.33861435,-71.08862559666666,-1.358,327941.467116202,4689485.963989593,19,T,5
1697065175.7847936,45,82750,0,GPS1_Frame,42.338613511666665,-71.08862563666666,-1.258,327941.4615343553,4689485.870979988,19,T,5
1697065178.0742826,46,82751,0,GPS1_Frame,42.338612833333336,-71.08862582333333,-1.163,327941.4443061743,4689485.796033951,19,T,5
